date,open,close,high,low,volume
2019-11-08,9007.37684440522,9007.06894368271,9252.9,8681,7721.608289169998
2019-11-09,8819.75119447738,8819.733094393701,8896,8734.8,2067.98209103
2019-11-10,8897.937635036189,8898.16204346269,9250,8764,4554.941762620003
2019-11-11,8840.64284052348,8840.404598712976,9130,8616.5,4326.834454130011
2019-11-12,8752.096664462284,8752.141280205802,8910,8602,3157.306503750002
2019-11-13,8779.394408806034,8779.387325789608,8849.9,8730.3,1734.1876162000015
2019-11-14,8693.62286966215,8693.58460900598,8821.5,8600,3190.0035731500006
2019-11-15,8574.581325677284,8574.495730860379,8800,8420.1,5219.406872879996
2019-11-16,8500.648379098844,8500.602584560706,8577,8440.1,1613.4716047800077
2019-11-17,8548.218201918891,8548.237871028743,8699.5,8404.4,2685.475063910002
2019-11-18,8433.958862166015,8433.711327898922,8574.5,8117,6261.096461860009
2019-11-19,8164.0759981328365,8163.987080010589,8245.53052527,8051.7,3979.468484060004
2019-11-20,8143.235875286689,8143.1588951496105,8257.8,8081,2016.2852957099992
2019-11-21,7904.518137934127,7904.1556463571405,8155.9,7500,9760.362681689996
2019-11-22,7395.843334822497,7395.595563178712,7766,6819.2,19199.379388909998
2019-11-23,7273.440160674545,7273.513526712555,7385,7141,4939.852233930009
2019-11-24,7199.652880943808,7199.376736427817,7372,6982.7,7199.840983600008
2019-11-25,7018.647925186345,7018.746380113133,7414.4,6618,19651.79272242999
2019-11-26,7181.903672740057,7181.7752684894285,7386.3,7047.2,5388.664543369998
2019-11-27,7273.53433734184,7273.742903326821,7689,6878.2,13867.704594180013
2019-11-28,7559.095787608483,7559.00811720271,7690,7422,4208.500222490003
2019-11-29,7639.988552881621,7640.277761800568,7933.4,7415,7431.472184610001
2019-11-30,7699.598102802498,7699.412538727503,7861.6,7492,4783.225787640003
2019-12-01,7401.9247841192455,7401.757037887498,7613.7,7288.6,6515.092868229998
2019-12-02,7356.971416956089,7356.904278920522,7495,7206.4,4610.013271100003
2019-12-03,7358.631398275449,7358.587207316258,7454.6,7287,2345.539717240002
2019-12-04,7326.623593501966,7326.472364503773,7890,7129,11633.495334690002
2019-12-05,7360.086932058391,7360.168659731077,7530.9,7191,4785.571832720005
2019-12-06,7440.61177634229,7440.643467191134,7661.8,7350,5529.622683960005
2019-12-07,7572.1451198171735,7572.144766758298,7669.8,7516.7,2001.4584752100002
2019-12-08,7534.113908882005,7534.091058214486,7620,7433.6,4235.295891320002
2019-12-09,7505.775765700203,7505.5712570916785,7748.7,7306.2,6517.921196950004
2019-12-10,7339.429489682095,7339.348027554232,7434.6,7200,3581.362570230002
2019-12-11,7245.537034359059,7245.484646354253,7312,7169,3256.4991596000023
2019-12-12,7207.274496856129,7207.32496838131,7369.018892100001,7132.8,5567.008219729997
2019-12-13,7258.838715629748,7258.871534929681,7332,7218.7,2973.011734460001
2019-12-14,7198.40165280788,7198.306715566857,7290.5,7032.6,3372.908571130003
2019-12-15,7121.593267992294,7121.59906583307,7224.8,7043.9,2894.930811030003
2019-12-16,7088.608841148076,7088.470228931651,7196,6900,13924.96086895001
2019-12-17,6848.390961475691,6848.156239154138,6972,6630,11973.385111739986
2019-12-18,6785.014829651875,6785.637180731628,7482.2,6477,13601.070741589987
2019-12-19,7195.117745819188,7194.924181027049,7482.2,7079.7,6464.622402840017
2019-12-20,7183.9597419517595,7184.010121800879,7249,7116.8,5704.038833310005
2019-12-21,7178.52503890716,7178.493083235256,7228,7136.5,2287.265276670005
2019-12-22,7245.033900214275,7245.221214698645,7487.9,7158.6,3251.426176849997
2019-12-23,7531.51884970488,7531.409361651372,7715.1,7282.4,7238.775101950003
2019-12-24,7322.829663664475,7322.787754069933,7445,7182.1,4421.422098310005
2019-12-25,7238.707200930535,7238.678191583532,7294.2,7113.2,3367.3899385800023
2019-12-26,7254.451353248301,7254.432532097408,7465,7181.8,4606.932565020001
2019-12-27,7235.0922875306105,7235.111855197445,7300,7113.3,4135.375104920003
2019-12-28,7341.377956429321,7341.403623157872,7390,7270.9,1845.5321053200028
2019-12-29,7380.1905379492155,7380.207520581974,7551.6,7311.6,3322.8774051100054
2019-12-30,7340.834052545547,7340.740557361778,7440.64093633,7201.29026477,4110.608808350003
2019-12-31,7239.075494086476,7239.026971772139,7333,7161.3,2915.489883740004
